"Milliseconds","X","Y","Z"
"8","-1.6158295","1.909729","9.631195"
"1004","-2.3388672","3.226532","11.211365"
"2005","-1.7546844","2.9966888","13.141098"
"3004","-1.9055176","3.2361145","11.393326"
"4004","-0.7227936","1.1579437","15.954285"
"5005","-0.6581421","0.5522156","9.231369"
"6005","-0.9502411","1.0885162","6.7509766"
"7004","1.2165222","1.7995911","9.822739"
"8005","0.3905182","1.1962585","11.1539"
"9004","-0.76348877","0.70783997","10.552963"
"10004","1.0393524","0.31278992","9.370224"
"11005","-0.76348877","1.2393494","7.5530243"
"12004","0.41685486","2.5441895","6.085388"
"13004","0.67303467","2.709381","9.837097"
"14005","-0.823349","1.0909119","14.876892"
"15004","-1.4482269","0.35110474","13.112366"
"16005","-0.55758667","0.61924744","8.58493"
"17004","0.24447632","1.1483612","7.785263"
"18005","1.3266449","1.2920227","8.501129"
"19004","1.472702","0.73895264","10.011871"
"20005","1.9108429","-0.2785797","12.097229"
"21004","-0.88319397","0.8323364","9.995117"
"22005","0.42164612","1.8211365","6.5618286"
"23004","0.12715149","1.9863434","8.3407135"
"24005","-0.73475647","1.7588959","12.638306"
"25004","0.68499756","1.6056671","12.307907"
"26004","-0.98135376","0.71261597","14.627899"
"27005","-0.665329","0.276886","7.833145"
"28004","-0.07875061","0.54263306","7.9289246"
"29004","2.7248688","1.3806","8.508316"
"30005","1.5660706","0.14041138","12.049332"
"31004","0.48867798","0.7748718","11.582474"
"32004","5.638611","0.64797974","5.532318"
"33005","1.6714172","0.29603577","8.333542"
"34004","1.3314362","1.9456329","6.9999695"
"35005","0.6826172","2.2042084","9.121231"
"36004","-1.1681061","1.0980835","13.768372"
"37004","-0.93107605","2.0054932","11.496277"
"38005","-2.0779114","-1.0782471","14.053284"
"39004","-0.93826294","0.7174072","9.202637"
"40004","-0.06916809","1.6056671","8.87941"
"41004","1.0752563","1.7229767","9.276855"
"42005","0.646698","0.73657227","11.113205"
"43004","2.2579956","-0.62812805","12.272003"
"44005","1.5133972","-0.52996826","7.2369995"
"45004","2.8062744","1.1268158","4.7877197"
"46005","0.5413513","0.8203583","9.023071"
"47004","1.1925812","1.7038269","8.788437"
"48004","-0.22000122","2.2736359","4.864334"
"49005","0.31150818","3.4779205","4.8212433"
"50004","-0.25831604","2.7524872","9.535431"
"51004","0.57966614","1.6535492","13.833023"
"52005","0.7065582","1.0214691","12.267212"
"53004","-0.3756256","0.84669495","10.526627"
"54005","-1.1800842","0.597702","8.917725"
"55004","1.1877899","0.97358704","7.5458527"
"56004","3.5341034","1.1962585","7.55542"
"57005","1.6977539","0.6264343","12.066101"
"58004","0.4767151","0.18829346","10.742111"
"59005","1.7432404","0.52827454","8.74295"
"60004","-1.9127045","0.89697266","11.546555"
"61004","0.3426361","1.9839478","5.8100433"
"62005","0.5557251","1.6320038","10.450012"
"63004","-1.223175","1.1340027","16.777893"
"64008","1.3362274","0.059005737","11.09166"
"65005","0.07687378","0.72698975","9.827515"
"66004","0.7831726","1.0142975","8.594513"
"67005","2.2101135","1.1723175","8.4987335"
"68004","2.4327698","2.0414124","7.5817566"
"69005","1.3553772","0.43728638","12.504242"
"70004","1.0824432","-0.4342041","12.260025"
"71005","2.4232025","0.35350037","6.782089"
"72004","-1.6804657","1.0765381","12.535355"
"73004","1.9778748","2.6160126","4.050308"
"74004","-0.15296936","1.7038269","12.336639"
"75005","0.24447632","1.296814","12.3246765"
"76004","-2.8129272","-0.5826416","17.929504"
"77005","1.0561066","0.9089508","6.0542603"
"78004","-0.6174469","0.49475098","8.70224"
"79004","0.55332947","1.5984802","7.2537537"
"80004","0.58683777","1.3925781","9.686264"
"81005","1.9419556","0.3822174","11.635147"
"82004","0.56529236","0.48516846","9.068558"
"83005","0.15827942","-1.1165466","16.545654"
"84004","2.1789856","0.7245941","7.1508026"
"85004","-0.72039795","1.2393494","8.266495"
"86005","1.2763672","2.5729218","7.3279724"
"87004","-0.02368164","1.7684631","11.599228"
"88005","2.109558","1.8738098","13.452347"
"89005","1.7264862","1.1770935","10.926453"
"90004","-0.85206604","0.3894043","10.864212"
"91004","1.5038147","0.84669495","6.9257507"
"92004","0.79034424","1.2345581","7.4357147"
"93005","0.61317444","1.4572144","7.69429"
"94004","1.2644043","0.6838989","10.351852"
"95005","0.61317444","-0.22590637","10.06694"
"96004","-1.843277","-0.82444763","16.794647"
"97004","1.6857758","0.731781","7.9408875"
"98005","1.1231384","2.0150757","5.326416"
"99004","2.1741943","2.7788239","5.036728"
"100005","-0.0069122314","1.4931335","10.603241"
"101004","-0.05480957","1.435669","13.703735"
"102004","-1.2135925","-0.6712189","12.102005"
"103005","1.1734161","0.7581177","7.5290833"
"104004","-0.37322998","0.32237244","7.5266876"
"105005","0.81907654","1.5290527","8.659149"
"106004","1.4104462","1.1411896","10.629578"
"107004","0.37376404","0.94007874","9.861038"
"108004","0.05053711","-0.4126587","13.246445"
"109004","1.2811584","1.265686","8.213821"
"110005","-0.4402771","2.115631","8.453247"
